Number Header,Random Header,Dates,Required Date
1889,a,2/21/2007,['2/21/2007']
1890,a,1/22/2009 | 1/25/2008,1/25/2008
1891,a,7/26/2006 | 7/25/2007 | 7/27/2006,7/26/2006
1892,a,7/30/2007 | 7/31/2006,7/31/2006
1893,a,7/31/2006 | 7/30/2007,7/31/2006
1894,a,2/21/2007 | 7/31/2006,7/31/2006
1895,a,8/21/2007 | 8/23/2006,8/23/2006
1896,a,8/21/2007 | 8/23/2006,8/23/2006
1897,a,8/23/2006 | 8/21/2007,8/23/2006
1898,a,4/19/2007,['4/19/2007']
1899,a,3/27/2007,['3/27/2007']
1900,a,8/7/2006,['8/7/2006']
1901,a,8/7/2006,['8/7/2006']
1902,a,8/7/2006,['8/7/2006']
1903,a,8/7/2006,['8/7/2006']
1904,a,8/7/2006,['8/7/2006']
1905,a,8/7/2006,['8/7/2006']
1906,a,8/7/2006,['8/7/2006']
1907,a,12/13/2006 | 7/31/2006,7/31/2006
1908,a,10/6/2006 | 10/5/2007,10/6/2006
1909,a,10/6/2006 | 10/5/2007,10/6/2006
1910,a,3/9/2007,['3/9/2007']
1911,a,12/15/2006,['12/15/2006']
1912,a,12/24/2007,['12/24/2007']
1913,a,11/27/2007 | 3/23/2007,3/23/2007
1914,a,11/24/2006,['11/24/2006']
1915,a,11/24/2006,['11/24/2006']
1916,a,11/24/2006,['11/24/2006']
1917,a,8/21/2006 | 8/17/2007,8/21/2006
1918,a,11/6/2006,['11/6/2006']
1919,a,8/17/2006,['8/17/2006']
1920,a,8/18/2006,['8/18/2006']
1921,a,8/18/2006,['8/18/2006']
1922,a,2/21/2006 | 2/21/2006 | 2/20/2007,2/21/2006
1923,a,2/21/2006 | 2/21/2006,2/21/2006
1924,a,10/6/2006,['10/6/2006']
1925,a,10/6/2006,['10/6/2006']
1926,a,8/22/2006,['8/22/2006']
1927,a,10/31/2006,['10/31/2006']
1928,a,1/31/2007,['1/31/2007']
1929,a,7/10/2007,['7/10/2007']
1930,a,10/31/2007,['10/31/2007']
1931,a,10/31/2007,['10/31/2007']
1932,a,8/22/2007 | 8/24/2006,8/24/2006
1933,a,1/22/2007 | 1/16/2008,1/22/2007
1934,a,6/18/2008,['6/18/2008']
1935,a,12/8/2006,['12/8/2006']
1936,a,8/29/2007 | 8/30/2006,8/30/2006
1937,a,10/19/2006 | 10/12/2007,10/19/2006
1938,a,10/12/2007 | 10/19/2006,10/19/2006
1939,a,4/30/2007,['4/30/2007']
1940,a,10/24/2006,['10/24/2006']
1941,a,7/17/2007,['7/17/2007']
1942,a,1/31/2007 | 12/4/2006,12/4/2006
1943,a,9/8/2006 | 9/4/2007,9/8/2006
1944,a,9/8/2006 | 9/4/2007,9/8/2006
1945,a,10/25/2006,['10/25/2006']
1946,a,9/6/2006,['9/6/2006']
1947,a,3/27/2007 | 8/24/2007,3/27/2007
1948,a,9/14/2006 | 10/3/2006 | 9/11/2007,9/14/2006
1949,a,9/14/2006 | 9/11/2007 | 10/3/2006,9/14/2006
1950,a,9/11/2007 | 9/12/2006,9/12/2006
1951,a,9/10/2007 | 9/11/2006,9/11/2006
1952,a,9/10/2007 | 9/11/2006,9/11/2006
1953,a,6/14/2007,['6/14/2007']
1954,a,1/24/2007,['1/24/2007']
1955,a,9/11/2007 | 9/15/2006,9/15/2006
1956,a,6/13/2008,['6/13/2008']
1957,a,12/12/2007,['12/12/2007']
1958,a,2/7/2008,['2/7/2008']
1959,a,2/7/2008,['2/7/2008']
1960,a,2/7/2008,['2/7/2008']
1961,a,2/7/2008,['2/7/2008']
1962,a,4/11/2007,['4/11/2007']
1963,a,6/ 29/2007 | 3/6/2007,3/6/2007
1964,a,11/5/2008,['11/5/2008']
1965,a,1/30/2009,['1/30/2009']
1966,a,1/24/2007,['1/24/2007']
1967,a,5/9/2008,['5/9/2008']
1968,a,9/25/2006 | 9/20/2007,9/25/2006
1969,a,9/20/2007 | 9/25/2006,9/25/2006
1970,a,9/25/2006 | 9/22/2007,9/25/2006
1971,a,9/29/2006 | 9/21/2007,9/29/2006
1972,a,9/28/2007 | 9/29/2006,9/29/2006
1973,a,9/24/2008,['9/24/2008']
1974,a,4/15/2008 | 4/23/2008,4/15/2008
1975,a,4/15/2008 | 4/23/2008,4/15/2008
1976,a,9/24/2007 | 9/27/2006,9/27/2006
1977,a,10/3/2008,['10/3/2008']
1978,a,12/24/2007,['12/24/2007']
1979,a,6/ 29/2007 | 3/6/2007,3/6/2007
1980,a,9/20/2007,['9/20/2007']
1981,a,9/28/2006,['9/28/2006']
1982,a,9/28/2006,['9/28/2006']
1983,a,10/3/2006,['10/3/2006']
1984,a,10/9/2007 | 11/6/2006 | 10/10/2006,10/10/2006
1985,a,9/27/2007 | 9/29/2006,9/29/2006
1986,a,1/22/2007,['1/22/2007']
1987,a,10/3/2006,['10/3/2006']
1988,a,10/3/2006 | 9/28/2007 | 1/5/2007,10/3/2006
1989,a,11/7/2007,['11/7/2007']
1990,a,10/3/2006,['10/3/2006']
1991,a,10/4/2006 | 10/3/2006,10/3/2006
1992,a,10/4/2007 | 10/3/2006,10/3/2006
1993,a,10/10/2006 | 6/ 8/2007,10/10/2006
1994,a,7/31/2007 | 10/10/2006,10/10/2006
1995,a,10/10/2006 | 10/3/2007,10/10/2006
1996,a,10/4/2006,['10/4/2006']
1997,a,11/7/2007,['11/7/2007']
1998,a,11/6/2007,['11/6/2007']
1999,a,11/6/2007,['11/6/2007']
2000,a,10/10/2006,['10/10/2006']
2001,a,4/29/2008,['4/29/2008']
2002,a,7/6/2007,['7/6/2007']
2003,a,7/6/2007,['7/6/2007']
2004,a,10/10/2006 | 10/9/2007,10/10/2006
2005,a,1/17/2007 | 1/15/2008,1/17/2007
2006,a,10/27/2005,['10/27/2005']
2007,a,10/27/2005,['10/27/2005']
2008,a,10/27/2005,['10/27/2005']
2009,a,10/27/2005,['10/27/2005']
2010,a,10/27/2005,['10/27/2005']
2011,a,10/27/2005,['10/27/2005']
2012,a,6/ 27/2008 | 7/10/2007,7/10/2007
2013,a,10/31/2007,['10/31/2007']
2014,a,10/31/2007,['10/31/2007']
2015,a,7/10/2007,['7/10/2007']
2016,a,7/10/2007,['7/10/2007']
2017,a,11/27/2007,['11/27/2007']
2018,a,10/31/2007,['10/31/2007']
2019,a,10/13/2006 | 10/11/2007,10/13/2006
2020,a,7/10/2007,['7/10/2007']
2021,a,10/5/2007 | 10/13/2006,10/13/2006
2022,a,11/5/2008,['11/5/2008']
2023,a,6/1/2007,['6/1/2007']
2024,a,6/1/2007,['6/1/2007']
2025,a,10/26/2006 | 12/5/2006 | 10/19/2006 | 1/5/2007,10/19/2006
2026,a,6/ 28/2007 | 7/30/2007,6/28/2007
2027,a,11/1/2006,['11/1/2006']
2028,a,10/27/2006 | 3/1/2007,10/27/2006
2029,a,10/23/2006 | 10/2/2007,10/23/2006
2030,a,10/26/2006 | 10/24/2006,10/24/2006
2031,a,10/26/2006 | 10/24/2006,10/24/2006
2032,a,10/24/2006,['10/24/2006']
2033,a,11/10/2006 | 11/6/2007,11/10/2006
2034,a,3/14/2007,['3/14/2007']
2035,a,10/26/2006,['10/26/2006']
2036,a,10/26/2006 | 10/25/2007,10/26/2006
2037,a,10/26/2006 | 10/25/2007,10/26/2006
2038,a,10/31/2006,['10/31/2006']
2039,a,11/1/2006,['11/1/2006']
2040,a,11/1/2006,['11/1/2006']
2041,a,11/1/2006,['11/1/2006']
2042,a,7/12/2007 | 3/13/2007,3/13/2007
2043,a,3/11/2008,['3/11/2008']
2044,a,3/19/2007 | 3/6/2008,3/19/2007
2045,a,11/25/2008,['11/25/2008']
2046,a,9/14/2007,['9/14/2007']
2047,a,2/8/2007 | 10/31/2007 | 11/3/2006,11/3/2006
2048,a,11/6/2006,['11/6/2006']
2049,a,11/7/2006,['11/7/2006']
2050,a,11/7/2006,['11/7/2006']
2051,a,7/30/2007,['7/30/2007']
2052,a,2/1/2008 | 5/2/2008,2/1/2008
2053,a,12/14/2006 | 12/12/2007,12/14/2006
2054,a,10/2/2007,['10/2/2007']
2055,a,10/2/2007,['10/2/2007']
2056,a,7/13/2007 | 3/2/2007,3/2/2007
2057,a,11/12/2007,['11/12/2007']
2058,a,11/14/2006,['11/14/2006']
2059,a,11/22/2006 | 8/17/2007 | 11/14/2006,11/14/2006
2060,a,3/25/2008 | 3/26/2007,3/26/2007
2061,a,3/26/2007 | 3/25/2008,3/26/2007
2062,a,3/25/2008 | 3/26/2007,3/26/2007
2063,a,3/25/2008 | 3/26/2007,3/26/2007
2064,a,2/15/2008,['2/15/2008']
2065,a,11/16/2007 | 11/20/2006 | 11/17/2006 | 11/21/2006,11/17/2006
2066,a,2/20/2008,['2/20/2008']
2067,a,2/20/2008,['2/20/2008']
2068,a,5/24/2007 | 2/27/2007,2/27/2007
2069,a,6/29/2007,['6/29/2007']
2070,a,6/29/2007,['6/29/2007']
2071,a,1/6/2009,['1/6/2009']
2072,a,5/23/2008,['5/23/2008']
2073,a,11/14/2006 | 8/17/2007 | 11/22/2006,11/14/2006
2074,a,8/9/2007,['8/9/2007']
2075,a,7/30/2007,['7/30/2007']
2076,a,9/11/2007,['9/11/2007']
2077,a,2/9/2007 | 2/7/2008,2/9/2007
2078,a,11/30/2006,['11/30/2006']
2079,a,12/1/2006 | 11/27/2007 | 11/21/2007,12/1/2006
2080,a,11/27/2007 | 11/21/2007 | 12/1/2006,12/1/2006
2081,a,11/28/2007,['11/28/2007']
2082,a,7/10/2007,['7/10/2007']
2083,a,3/29/2007 | 3/26/2008,3/29/2007
2084,a,3/29/2007 | 3/26/2008,3/29/2007
2085,a,12/4/2006 | 11/26/2007,12/4/2006
2086,a,12/5/2006,['12/5/2006']
2087,a,1/8/2007 | 1/9/2007 | 12/3/2007 | 12/6/2006,12/6/2006
2088,a,8/24/2010,['8/24/2010']
2089,a,1/4/2007,['1/4/2007']
2090,a,1/29/2008 | 1/31/2007,1/31/2007
2091,a,1/8/2008,['1/8/2008']
2092,a,10/1/2009,['10/1/2009']
2093,a,5/3/2007 | 6/ 7/2007,5/3/2007
2094,a,3/7/2008,['3/7/2008']
2095,a,2/15/2008,['2/15/2008']
2096,a,2/15/2008,['2/15/2008']
2097,a,3/14/2008 | 3/17/2007,3/17/2007
2098,a,6/ 12/2007 | 3/19/2007,3/19/2007
2099,a,2/5/2007 | 1/11/2007,1/11/2007
2100,a,7/9/2007,['7/9/2007']
2101,a,7/9/2007,['7/9/2007']
2102,a,7/10/2007,['7/10/2007']
2103,a,7/10/2007,['7/10/2007']
2104,a,7/5/2007,['7/5/2007']
2105,a,12/24/2007,['12/24/2007']
2106,a,12/24/2007,['12/24/2007']
2107,a,7/11/2007 | 6/ 27/2008,7/11/2007
2108,a,1/4/2007 | 1/5/2007 | 1/2/2008,1/4/2007
2109,a,1/10/2007,['1/10/2007']
2110,a,12/7/2007,['12/7/2007']
2111,a,12/18/2007 | 1/8/2007,1/8/2007
2112,a,1/8/2007 | 12/18/2007,1/8/2007
2113,a,1/5/2007 | 1/2/2008 | 1/4/2007,1/4/2007
2114,a,3/13/2008,['3/13/2008']
2115,a,2/8/2007 | 1/9/2007 | 1/7/2008,1/9/2007
2116,a,9/6/2007,['9/6/2007']
2117,a,9/10/2008,['9/10/2008']
2118,a,1/12/2007 | 1/8/2008,1/12/2007
2119,a,1/8/2008 | 1/12/2007,1/12/2007
2120,a,4/26/2007 | 4/24/2008,4/26/2007
2121,a,1/29/2008,['1/29/2008']
2122,a,2/21/2006 | 2/21/2006,2/21/2006
2123,a,2/21/2006 | 2/21/2006,2/21/2006
2124,a,1/17/2007 | 1/16/2008 | 2/6/2007,1/17/2007
2125,a,1/11/2008 | 4/5/2007,4/5/2007
2126,a,6/27/2008,['6/27/2008']
2127,a,6/18/2008,['6/18/2008']
2128,a,6/18/2008,['6/18/2008']
2129,a,7/26/2007,['7/26/2007']
2130,a,2/5/2007 | 1/26/2007 | 1/25/2008,1/26/2007
2131,a,2/5/2007 | 1/26/2007 | 1/25/2008,1/26/2007
2132,a,1/25/2008 | 1/26/2007 | 2/5/2007,1/26/2007
2133,a,2/6/2007 | 7/31/2007,2/6/2007
2134,a,8/17/2007 | 9/26/2007,8/17/2007
2135,a,8/17/2007 | 9/26/2007,8/17/2007
2136,a,2/5/2007 | 1/30/2007,1/30/2007
2137,a,1/30/2007 | 1/29/2008,1/30/2007
2138,a,8/18/2003,['8/18/2003']
2139,a,5/27/2004,['5/27/2004']
2140,a,2/8/2005,['2/8/2005']
2141,a,1/2/2008 | 1/5/2007,1/5/2007
2142,a,12/21/2007,['12/21/2007']
2143,a,3/11/2008 | 3/12/2007 | 7/18/2007,3/12/2007
2144,a,2/5/2008 | 2/6/2007,2/6/2007
2145,a,12/31/2006,['12/31/2006']
2146,a,2/5/2008 | 2/6/2007,2/6/2007
2147,a,3/26/2008 | 3/13/2008,3/13/2008
2148,a,2/23/2007 | 2/21/2008,2/23/2007
2149,a,2/14/2007 | 2/13/2008,2/14/2007
2150,a,2/13/2008 | 2/14/2007,2/14/2007
2151,a,3/6/2008,['3/6/2008']
2152,a,10/30/2008,['10/30/2008']
2153,a,7/10/2007,['7/10/2007']
2154,a,8/1/2008,['8/1/2008']
2155,a,8/1/2008,['8/1/2008']
2156,a,8/1/2008,['8/1/2008']
2157,a,2/18/2009,['2/18/2009']
2158,a,1/29/2008,['1/29/2008']
2159,a,3/24/2008 | 3/26/2007,3/26/2007
2160,a,3/16/2007 | 3/12/2008,3/16/2007
2161,a,8/23/2007 | 7/18/2007,7/18/2007
2162,a,8/23/2007 | 7/18/2007,7/18/2007
2163,a,3/13/2008 | 3/14/2007,3/14/2007
2164,a,3/23/2007 | 3/5/2008,3/23/2007
2165,a,3/7/2007 | 10/5/2007,3/7/2007
2166,a,12/24/2007,['12/24/2007']
2167,a,3/13/2008 | 3/17/2007,3/17/2007
2168,a,3/12/2007 | 3/6/2008,3/12/2007
2169,a,3/21/2008,['3/21/2008']
2170,a,3/5/2008 | 3/16/2007,3/16/2007
2171,a,3/14/2008 | 3/16/2007,3/16/2007
2172,a,10/10/2007,['10/10/2007']
2173,a,3/17/2007 | 3/13/2008 | 3/16/2007,3/16/2007
2174,a,3/17/2007 | 3/16/2007 | 3/13/2008,3/16/2007
2175,a,3/17/2008 | 3/19/2007 | 5/30/2007,3/19/2007
2176,a,3/26/2007 | 3/25/2008,3/26/2007
2177,a,3/26/2007 | 3/26/2007 | 3/25/2008 | 3/26/2007,3/26/2007
2178,a,12/17/2008 | 2/29/2008,2/29/2008
2179,a,3/31/2009,['3/31/2009']
2180,a,9/17/2008 | 9/24/2007 | 9/24/2007,9/24/2007
2181,a,9/24/2007 | 9/24/2007 | 9/17/2008,9/24/2007
2182,a,9/24/2007 | 9/24/2007 | 9/17/2008 | 9/24/2007,9/24/2007
2183,a,9/17/2008 | 9/24/2007 | 9/24/2007 | 9/24/2007,9/24/2007
2184,a,9/17/2008 | 9/24/2007,9/24/2007
2185,a,9/24/2007 | 9/17/2008,9/24/2007
2186,a,7/22/2008,['7/22/2008']
2187,a,9/21/2007,['9/21/2007']
2188,a,12/5/2008,['12/5/2008']
2189,a,5/31/2007 | 5/22/2008,5/31/2007
2190,a,4/23/2007 | 2/6/2008 | 6/ 20/2007,4/23/2007
2191,a,7/16/2007 | 7/14/2008,7/16/2007
2192,a,4/27/2009,['4/27/2009']
2193,a,4/15/2008 | 4/16/2007,4/16/2007
2194,a,4/13/2007 | 4/6/2007 | 3/11/2008 | 6/ 12/2007,4/6/2007
2195,a,6/5/2008,['6/5/2008']
2196,a,5/14/2007 | 5/13/2008 | 10/1/2007,5/14/2007
2197,a,10/19/2007,['10/19/2007']
2198,a,4/13/2007 | 4/11/2008,4/13/2007
2199,a,4/30/2007 | 4/25/2008,4/30/2007
2200,a,10/27/2008 | 12/21/2007 | 5/1/2008 | 3/21/2008 | 12/18/2007,12/18/2007
2201,a,1/4/2008,['1/4/2008']
2202,a,10/30/2008 | 10/30/2008,10/30/2008
2203,a,5/7/2007 | 5/6/2008,5/7/2007
2204,a,12/12/2007,['12/12/2007']
2205,a,2/27/2008,['2/27/2008']
2206,a,11/18/2008,['11/18/2008']
2207,a,4/24/2008 | 4/26/2007,4/26/2007
2208,a,4/18/2007 | 12/12/2007,4/18/2007
2209,a,12/7/2007,['12/7/2007']
2210,a,4/10/2008 | 4/18/2007,4/18/2007
2211,a,7/10/2007 | 7/8/2008,7/10/2007
2212,a,7/8/2008 | 7/10/2007,7/10/2007
2213,a,6/ 26/2008 | 7/10/2007,7/10/2007
2214,a,6/ 26/2008 | 7/10/2007,7/10/2007
2215,a,7/10/2007 | 6/ 26/2008,7/10/2007
2216,a,1/4/2008,['1/4/2008']
2217,a,4/15/2008 | 4/20/2007,4/20/2007
2218,a,4/29/2008 | 9/18/2008 | 9/24/2007,9/24/2007
2219,a,4/25/2007 | 4/24/2008,4/25/2007
2220,a,5/30/2007 | 5/20/2008,5/30/2007
2221,a,8/28/2007,['8/28/2007']
2222,a,5/1/2008 | 5/2/2007,5/2/2007
2223,a,5/2/2007 | 5/1/2008,5/2/2007
2224,a,7/10/2007 | 6/ 30/2008,7/10/2007
2225,a,7/10/2007 | 6/ 30/2008,7/10/2007
2226,a,7/10/2007 | 6/ 30/2008,7/10/2007
2227,a,7/10/2007 | 6/ 30/2008,7/10/2007
2228,a,7/10/2007 | 6/ 30/2008,7/10/2007
2229,a,2/22/2008,['2/22/2008']
2230,a,5/2/2008 | 5/4/2007,5/4/2007
2231,a,7/7/2007 | 7/7/2007 | 7/7/2007 | 7/7/2007 | 7/7/2007 | 6/ 6/2008 | 7/7/2007,7/7/2007
2232,a,1/7/2008,['1/7/2008']
2233,a,5/6/2008 | 5/8/2007,5/8/2007
2234,a,7/18/2008 | 6/ 12/2008,6/12/2008
2235,a,6/12/2008,['6/12/2008']
2236,a,9/17/2007,['9/17/2007']
2237,a,12/13/2007,['12/13/2007']
2238,a,8/15/2008 | 4/10/2009,8/15/2008
2239,a,5/18/2007 | 5/8/2008,5/18/2007
2240,a,5/8/2008 | 5/18/2007,5/18/2007
2241,a,5/21/2007 | 5/20/2008,5/21/2007
2242,a,12/17/2007,['12/17/2007']
2243,a,6/ 6/2008 | 6/ 8/2007,6/8/2007
2244,a,12/20/2007,['12/20/2007']
2245,a,5/25/2007 | 2/8/2008,5/25/2007
2246,a,1/23/2009,['1/23/2009']
2247,a,9/16/2008 | 9/17/2007,9/17/2007
2248,a,9/17/2007 | 9/16/2008,9/17/2007
2249,a,3/10/2008,['3/10/2008']
2250,a,11/10/2008,['11/10/2008']
2251,a,11/10/2008,['11/10/2008']
2252,a,3/13/2008,['3/13/2008']
2253,a,3/13/2008,['3/13/2008']
2254,a,4/4/2008,['4/4/2008']
2255,a,5/29/2008 | 5/30/2007,5/30/2007
2256,a,5/31/2007 | 5/31/2008,5/31/2007
2257,a,2/29/2008,['2/29/2008']
2258,a,6/ 26/2008 | 7/10/2007,7/10/2007
2259,a,7/7/2008 | 7/9/2007,7/9/2007
2260,a,7/9/2007 | 7/7/2008,7/9/2007
2261,a,3/3/2008,['3/3/2008']
2262,a,3/3/2008,['3/3/2008']
2263,a,6/12/2008,['6/12/2008']
2264,a,5/30/2008 | 6/ 11/2007,6/11/2007
2265,a,11/27/2007,['11/27/2007']
2266,a,6/ 13/2007 | 6/ 12/2008,6/13/2007
2267,a,6/ 4/2008 | 6/ 8/2007,6/8/2007
2268,a,6/ 13/2007 | 5/30/2008,6/13/2007
2269,a,6/ 13/2007 | 6/ 10/2008,6/13/2007
2270,a,2/2/2009,['2/2/2009']
2271,a,6/ 10/2008 | 6/ 18/2007,6/18/2007
2272,a,5/21/2008 | 6/ 13/2007,6/13/2007
2273,a,6/ 13/2007 | 5/21/2008,6/13/2007
2274,a,6/ 18/2007 | 8/15/2007 | 6/ 11/2008 | 6/ 12/2007,6/12/2007
2275,a,9/24/2007 | 9/21/2007 | 10/3/2007 | 9/17/2008 | 9/21/2007,9/21/2007
2276,a,9/24/2007 | 9/17/2008 | 9/21/2007 | 9/21/2007 | 10/3/2007,9/21/2007
2277,a,4/27/2009,['4/27/2009']
2278,a,7/24/2007 | 6/ 2/2008 | 6/ 15/2007,6/15/2007
2279,a,6/ 15/2007 | 5/15/2008,6/15/2007
2280,a,3/25/2010,['3/25/2010']
2281,a,11/5/2007 | 11/7/2006,11/7/2006
2282,a,6/ 5/2007 | 6/ 6/2006,6/6/2006
2283,a,5/29/2007 | 6/ 2/2006,6/2/2006
2284,a,7/2/2008 | 7/10/2007,7/10/2007
2285,a,7/10/2007 | 7/2/2008,7/10/2007
2286,a,7/10/2007 | 7/2/2008,7/10/2007
2287,a,7/2/2008 | 7/10/2007,7/10/2007
2288,a,6/ 12/2008 | 6/ 15/2007,6/15/2007
2289,a,6/ 19/2007 | 6/ 18/2008,6/19/2007
2290,a,6/ 15/2007 | 10/12/2007 | 6/ 4/2008,6/15/2007
2291,a,9/28/2007 | 9/10/2007,9/10/2007
2292,a,6/ 16/2008 | 6/ 18/2007,6/18/2007
2293,a,6/ 17/2008 | 6/ 18/2007,6/18/2007
2294,a,12/3/2007 | 9/24/2007,9/24/2007
2295,a,2/25/2008 | 11/8/2007,11/8/2007
2296,a,4/15/2008 | 4/23/2008,4/15/2008
2297,a,8/14/2007 | 6/ 21/2007 | 6/ 10/2008,6/21/2007
2298,a,6/13/2008,['6/13/2008']
2299,a,2/4/2009,['2/4/2009']
2300,a,11/21/2007,['11/21/2007']
2301,a,1/31/2008,['1/31/2008']
2302,a,5/9/2008 | 5/7/2009,5/9/2008
2303,a,6/ 25/2007 | 6/ 24/2008,6/25/2007
2304,a,6/ 25/2007 | 6/ 24/2008,6/25/2007
2305,a,2/20/2008 | 6/ 29/2007,6/29/2007
2306,a,6/ 29/2007 | 2/20/2008,6/29/2007
2307,a,11/21/2007,['11/21/2007']
2308,a,6/2/2008,['6/2/2008']
2309,a,10/6/2008 | 10/11/2007,10/11/2007
2310,a,10/23/2008,['10/23/2008']
2311,a,2/29/2008,['2/29/2008']
2312,a,12/3/2007,['12/3/2007']
2313,a,5/19/2008,['5/19/2008']
2314,a,6/26/2008,['6/26/2008']
2315,a,7/3/2008 | 7/13/2007,7/13/2007
2316,a,5/7/2009,['5/7/2009']
2317,a,10/16/2008 | 10/15/2009,10/16/2008
2318,a,2/6/2008 | 2/4/2009,2/6/2008
2319,a,5/27/2008,['5/27/2008']
2320,a,7/15/2008 | 7/16/2007,7/16/2007
2321,a,11/5/2007,['11/5/2007']
2322,a,12/20/2007,['12/20/2007']
2323,a,12/20/2007,['12/20/2007']
2324,a,3/26/2008,['3/26/2008']
2325,a,11/30/2007,['11/30/2007']
2326,a,6/19/2008,['6/19/2008']
2327,a,1/4/2008,['1/4/2008']
2328,a,8/13/2007,['8/13/2007']
2329,a,6/16/2008,['6/16/2008']
2330,a,6/30/2008,['6/30/2008']
2331,a,6/30/2008,['6/30/2008']
2332,a,8/13/2008 | 8/17/2007,8/17/2007
2333,a,8/13/2008 | 8/17/2007,8/17/2007
2334,a,8/13/2008 | 8/17/2007,8/17/2007
2335,a,8/17/2007 | 8/13/2008,8/17/2007
2336,a,11/5/2007,['11/5/2007']
2337,a,6/16/2008,['6/16/2008']
2338,a,1/4/2008,['1/4/2008']
2339,a,6/26/2008,['6/26/2008']
2340,a,6/ 19/2009 | 10/31/2009,6/19/2009
2341,a,3/26/2009 | 4/2/2008,4/2/2008
2342,a,8/3/2007 | 7/30/2008,8/3/2007
2343,a,7/30/2008 | 8/3/2007,8/3/2007
2344,a,8/3/2007 | 7/30/2008,8/3/2007
2345,a,7/11/2008,['7/11/2008']
2346,a,2/10/2009 | 2/11/2008,2/11/2008
2347,a,10/31/2007,['10/31/2007']
2348,a,2/1/2008,['2/1/2008']
2349,a,12/19/2007,['12/19/2007']
2350,a,3/18/2009 | 3/21/2008,3/21/2008
2351,a,3/4/2008,['3/4/2008']
2352,a,3/7/2008,['3/7/2008']
2353,a,4/24/2008,['4/24/2008']
2354,a,8/1/2008,['8/1/2008']
2355,a,10/28/2008,['10/28/2008']
2356,a,10/20/2008 | 2/3/2009,10/20/2008
2357,a,8/12/2008 | 8/13/2007,8/13/2007
2358,a,4/29/2009 | 4/29/2008,4/29/2008
2359,a,4/29/2008 | 4/29/2009,4/29/2008
2360,a,6/30/2008,['6/30/2008']
2361,a,8/13/2007 | 7/29/2008,8/13/2007
2362,a,6/27/2008,['6/27/2008']
2363,a,8/11/2008 | 8/15/2007,8/15/2007
2364,a,8/24/2007 | 8/6/2008 | 8/10/2007,8/10/2007
2365,a,2/7/2008 | 3/14/2008,2/7/2008
2366,a,11/4/2008,['11/4/2008']
2367,a,6/ 10/2008 | 6/ 5/2009,6/10/2008
2368,a,7/2/2008 | 8/13/2007,8/13/2007
2369,a,9/18/2008 | 9/24/2007,9/24/2007
2370,a,9/18/2008 | 9/24/2007,9/24/2007
2371,a,8/5/2008,['8/5/2008']
2372,a,2/6/2008,['2/6/2008']
2373,a,5/19/2008,['5/19/2008']
2374,a,5/27/2008,['5/27/2008']
2375,a,8/19/2008,['8/19/2008']
2376,a,6/4/2009,['6/4/2009']
2377,a,4/28/2009,['4/28/2009']
2378,a,8/18/2008,['8/18/2008']
2379,a,8/18/2008,['8/18/2008']
2380,a,9/9/2008,['9/9/2008']
2381,a,4/29/2008,['4/29/2008']
2382,a,8/22/2007 | 8/21/2008,8/22/2007
2383,a,10/12/2009,['10/12/2009']
2384,a,4/1/2008 | 3/27/2009,4/1/2008
2385,a,4/15/2008 | 9/18/2008,4/15/2008
2386,a,3/23/2009 | 3/31/2008,3/31/2008
2387,a,12/19/2007,['12/19/2007']
2388,a,2/14/2008,['2/14/2008']
2389,a,5/29/2008,['5/29/2008']
2390,a,12/26/2007,['12/26/2007']
2391,a,6/27/2008,['6/27/2008']
2392,a,5/27/2008,['5/27/2008']
2393,a,8/4/2008 | 9/26/2007,9/26/2007
2394,a,1/16/2009 | 8/22/2008,8/22/2008
2395,a,12/19/2008 | 5/5/2008,5/5/2008
2396,a,11/1/2007 | 10/29/2008,11/1/2007
2397,a,6/ 22/2010 | 6/ 26/2009,6/26/2009
2398,a,9/25/2008 | 9/28/2007,9/28/2007
2399,a,9/8/2008 | 10/1/2007,10/1/2007
2400,a,9/3/2008 | 12/5/2007 | 9/6/2007,9/6/2007
2401,a,7/31/2008 | 9/4/2007,9/4/2007
2402,a,11/16/2007 | 11/16/2007 | 11/16/2007 | 11/12/2008,11/16/2007
2403,a,8/5/2008 | 11/16/2007 | 11/16/2007 | 11/12/2008 | 11/16/2007 | 8/5/2008,11/16/2007
2404,a,11/12/2008 | 1/31/2008 | 11/16/2007 | 11/16/2007 | 11/16/2007,11/16/2007
2405,a,6/ 23/2008 | 11/12/2008 | 6/ 6/2008 | 6/ 19/2008 | 11/16/2007,11/16/2007
2406,a,11/6/2008 | 11/28/2007,11/28/2007
2407,a,11/6/2008 | 11/9/2007,11/9/2007
2408,a,10/30/2007 | 11/7/2007,10/30/2007
2409,a,9/24/2007 | 9/24/2007 | 9/17/2008 | 9/24/2007,9/24/2007
2410,a,9/18/2008 | 9/24/2007,9/24/2007
2411,a,9/17/2008 | 9/24/2007 | 9/24/2007,9/24/2007
2412,a,9/24/2007 | 9/24/2007 | 9/17/2008,9/24/2007
2413,a,9/24/2007 | 9/22/2008 | 9/24/2007 | 9/24/2007,9/24/2007
2414,a,9/24/2007 | 9/22/2008 | 9/24/2007 | 9/24/2007,9/24/2007
2415,a,9/10/2008 | 9/11/2007 | 12/6/2007,9/11/2007
2416,a,9/7/2007 | 9/4/2008 | 9/11/2007,9/7/2007
